iata,name,country
J8,Berjaya Air,Malaysia
J9,Jazeera Airways,Kuwait
JA,Air Bosna,Bosnia and Herzegovina
JB,Helijet,Canada
JC,JAL Express,Japan
JD,Japan Air System,Japan
JE,Mango,South Africa
JF,Jetairfly,Belgium
JG,Jetgo Australia,Australia
JH,Fuji Dream Airlines,Japan
JI,Midway Airlines,United States
JJ,TAM Brazilian Airlines,Brazil
JK,Spanair,Spain
JL,Japan Airlines,Japan
JM,Air Jamaica,Jamaica
JN,Excel Airways,United Kingdom
JO,JALways,Japan
JP,Adria Airways,Slovenia
JQ,Jetstar Airways,Australia
JR,Joy Air,China
JS,Air Koryo,Democratic People's Republic of Korea
JT,Lion Mentari Airlines,Indonesia
JU,Air Serbia,Serbia
JV,Bearskin Lake Air Service,Canada
JW,Arrow Air,United States
JX,Jusur airways,Egypt
JY,Aereonautica militare,Italy
JZ,Skyways Express,Sweden
K1,Kostromskie avialinii,Russia
K2,Eurolot,Poland
K5,SeaPort Airlines,United States
K6,Cambodia Angkor Air (K6),Cambodia
K7,KoralBlue Airlines,Egypt
K8,Zambia Skyways,Zambia
KA,Dragonair,DRAGON
KB,Druk Air,Bhutan
KC,Air Astana,Kazakhstan
KD,KD Avia,Russia
KE,Korean Air,Republic of Korea
KF,Blue1,Finland
KG,Royal Airways,United States
KH,Kharkiv Airlines,Ukraine
KI,Adam Air,Indonesia
KJ,British Mediterranean Airways,United Kingdom
KK,Atlasjet,Turkey
KL,KLM Royal Dutch Airlines,Netherlands
KM,Air Malta,Malta
KN,China United,China
KO,Alaska Central Express,United States
KP,Dense Airways,United States
KQ,Kenya Airways,Kenya
KR,Comores Airlines,Comoros
KS,Peninsula Airways,United States
KT,VickJet,France
KU,Kuwait Airways,Kuwait
KV,Kavminvodyavia,Russia
KW,Carnival Air Lines,United States
KX,Cayman Airways,Cayman Islands
KY,KSY,Greece
KZ,Dense Connection,United States
L1,All Argentina,Argentina
L3,LTU Austria,Austria
L4,Luchsh Airlines,Russia
L5,Lufttransport,Norway
L6,Mauritania Airlines International,Mauritania
L7,Lugansk Airlines,Ukraine
L8,Line Blue,Germany
L9,All Asia,China
LA,LAN Airlines,Chile
LB,Air Costa,India
LC,Varig Log,Brazil
LE,Liberty Airways,United States
LF,FlyNordic,Sweden
LG,Luxair,Luxembourg
LH,Lufthansa,Germany
LI,Leeward Islands Air Transport,Antigua and Barbuda
LJ,Jin Air,South Korea
LK,Air Luxor,Portugal
LM,Linhas A,Mozambique
LN,Libyan Arab Airlines,Libya
LO,LOT Polish Airlines,Poland
LP,LAN Peru,Peru
LQ,LCM AIRLINES,Russia
LR,LACSA,Costa Rica
LS,Jet2.com,United Kingdom
LT,Air Lituanica,Lithuania
LU,LAN Express,Chile
LV,Albanian Airlines,Albania
LW,Pacific Wings,United States
LX,Swiss International Air Lines,Switzerland
LY,El Al Israel Airlines,Israel
LZ,Balkan Bulgarian Airlines,
M1,Maryland Air,United States
M2,MHS Aviation GmbH,Germany
M3,ABSA - Aerolinhas Brasileiras,Brazil
M4,Marysya Airlines,Russia
M5,Kenmore Air,United States
M7,MasAir,Mexico
M8,TransNusa Air,Indonesia
M9,Motor Sich,Ukraine
MA,Malév,Hungary
MB,MNG Airlines,Turkey
MD,Air Madagascar,Madagascar
ME,Middle East Airlines,Lebanon
MF,Xiamen Airlines,China
MH,Malaysia Airlines,Malaysia
MI,SilkAir,Singapore
MJ,L,Argentina
MK,Air Mauritius,Mauritius
ML,Maldivo Airlines,Maldives
MM,Peach Aviation,Japan
MN,Comair,South Africa
MO,Abu Dhabi Amiri Flight,United Arab Emirates
MP,Martinair,Netherlands
MQ,American Eagle Airlines,United States
MR,Homer Air,Germany
MS,Egyptair,Egypt
MT,Thomas Cook Airlines,United Kingdom
MU,China Eastern Airlines,China
MW,Maya Island Air,Belize
MX,Mexicana de Aviaci,Mexico
MY,Midwest Airlines (Egypt),Egypt
MZ,Merpati Nusantara Airlines,Indonesia
N0,Norte Lineas Aereas,Argentina
N1,N1,Peru
N4,Regionalia México,Mexico
N5,Skagway Air Service,United States
N7,All Spain,Spain
N8,National Air Cargo,United States
N9,All Europe,United Kingdom
NA,Al-Naser Airlines,Iraq
NB,Sterling Airlines,Denmark
NC,National Jet Systems,Australia
NE,SkyEurope,Slovakia
NF,Air Vanuatu,Vanuatu
NG,Lauda Air,Austria
NH,All Nippon Airways,Japan
NI,Portugalia,Portugal
NJ,Nordic Global Airlines,Finland
NK,Spirit Airlines,United States
NL,Shaheen Air International,Pakistan
NM,Air Madrid,Spain
NN,VIM Airlines,Russia
NP,Nile Air,Egypt
NQ,Air Japan,Japan
NR,Jettor Airlines,Hong Kong
NS,Caucasus Airlines,Georgia
NT,Binter Canarias,Spain
NU,Japan Transocean Air,Japan
NW,Northwest Airlines,United States
NX,Air Macau,Macao
NY,Air Iceland,Iceland
NZ,Air New Zealand,New Zealand
O1,Orbit Airlines Azerbaijan,Azerbaijan
O2,Oceanic Airlines,Guinea
O6,Oceanair,Brazil
O7,Ozjet Airlines,Australia
O8,Oasis Hong Kong Airlines,Hong Kong
OA,Olympic Airlines,Greece
OB,Astrakhan Airlines,Russia
OC,Catovair,Mauritius
OD,Malindo Air,Malaysia
OF,Air Finland,Finland
OG,AirOnix,Ukraine
OH,Comair,United States
OI,Orchid Airlines,Australia
OJ,Overland Airways,Nigeria
